year,state,halfyear,totalRX
2011,AK,1,1625
2011,AK,2,1565
2011,AL,1,11744
2011,AL,2,10425
2011,AR,1,3071
2011,AR,2,3152
2011,AZ,1,10037
2011,AZ,2,11957
2011,CA,1,43301
2011,CA,2,39151
2011,CO,1,5219
2011,CO,2,5449
2011,CT,1,9794
2011,CT,2,9057
2011,DC,1,1431
2011,DC,2,2699
2011,DE,1,1557
2011,DE,2,1486
2011,FL,1,29206
2011,FL,2,27966
2011,GA,1,13114
2011,GA,2,15803
2011,HI,1,2471
2011,HI,2,2455
2011,IA,1,9460
2011,IA,2,8540
2011,ID,1,2986
2011,ID,2,3356
2011,IL,1,18926
2011,IL,2,8150
2011,IN,1,14256
2011,IN,2,12883
2011,KS,1,5592
2011,KS,2,5731
2011,KY,1,21577
2011,KY,2,22412
2011,LA,1,8592
2011,LA,2,8848
2011,MA,1,14306
2011,MA,2,13637
2011,MD,1,11501
2011,MD,2,12088
2011,ME,1,7017
2011,ME,2,7365
2011,MI,1,14177
2011,MI,2,14783
2011,MN,1,10995
2011,MN,2,14242
2011,MO,1,24105
2011,MO,2,24676
2011,MS,1,1700
2011,MS,2,3824
2011,MT,1,2765
2011,MT,2,2768
2011,NC,1,16480
2011,NC,2,15416
2011,NE,1,2960
2011,NE,2,3437
2011,NH,1,3780
2011,NH,2,3580
2011,NJ,1,8061
2011,NJ,2,7413
2011,NM,1,2858
2011,NM,2,2113
2011,NV,1,2632
2011,NV,2,2564
2011,NY,1,37229
2011,NY,2,38160
2011,OH,1,30511
2011,OH,2,22293
2011,OK,1,7402
2011,OK,2,7546
2011,OR,1,10898
2011,OR,2,10370
2011,PA,1,27014
2011,PA,2,23323
2011,RI,1,675
2011,RI,2,556
2011,SC,1,6643
2011,SC,2,6845
2011,SD,1,1016
2011,SD,2,1080
2011,TN,1,13473
2011,TN,2,13782
2011,TX,1,23742
2011,TX,2,17868
2011,UT,1,2435
2011,UT,2,1892
2011,VA,1,13727
2011,VA,2,14921
2011,VT,1,2125
2011,VT,2,2194
2011,WA,1,10119
2011,WA,2,10210
2011,WI,1,17890
2011,WI,2,19731
2011,WV,1,6122
2011,WV,2,5923
2011,WY,1,1170
2011,WY,2,1227
2012,AK,1,1778
2012,AK,2,1851
2012,AL,1,11327
2012,AL,2,12039
2012,AR,1,3251
2012,AR,2,3146
2012,AZ,1,10775
2012,AZ,2,7124
2012,CA,1,40485
2012,CA,2,40894
2012,CO,1,5945
2012,CO,2,6228
2012,CT,1,10508
2012,CT,2,12929
2012,DC,1,3999
2012,DC,2,3392
2012,DE,1,1531
2012,DE,2,1518
2012,FL,1,18367
2012,FL,2,40279
2012,GA,1,15379
2012,GA,2,15555
2012,HI,1,2419
2012,HI,2,2513
2012,IA,1,9616
2012,IA,2,10372
2012,ID,1,3520
2012,ID,2,3780
2012,IL,1,16354
2012,IL,2,18379
2012,IN,1,20081
2012,IN,2,16976
2012,KS,1,6149
2012,KS,2,6453
2012,KY,1,20097
2012,KY,2,23627
2012,LA,1,8925
2012,LA,2,10628
2012,MA,1,14985
2012,MA,2,13518
2012,MD,1,12499
2012,MD,2,12885
2012,ME,1,7496
2012,ME,2,7928
2012,MI,1,15210
2012,MI,2,15544
2012,MN,1,16470
2012,MN,2,17455
2012,MO,1,24228
2012,MO,2,26226
2012,MS,1,3063
2012,MS,2,3066
2012,MT,1,2808
2012,MT,2,3182
2012,NC,1,15083
2012,NC,2,14633
2012,NE,1,3503
2012,NE,2,3888
2012,NH,1,3411
2012,NH,2,4056
2012,NJ,1,10688
2012,NJ,2,10912
2012,NM,1,3042
2012,NM,2,3016
2012,NV,1,3388
2012,NV,2,3553
2012,NY,1,45936
2012,NY,2,43691
2012,OH,1,38255
2012,OH,2,48632
2012,OK,1,8156
2012,OK,2,11376
2012,OR,1,9869
2012,OR,2,7908
2012,PA,1,22506
2012,PA,2,20518
2012,RI,1,1975
2012,RI,2,1365
2012,SC,1,6710
2012,SC,2,7580
2012,SD,1,1257
2012,SD,2,1115
2012,TN,1,14117
2012,TN,2,18688
2012,TX,1,9842
2012,TX,2,9918
2012,UT,1,2497
2012,UT,2,2602
2012,VA,1,14386
2012,VA,2,21597
2012,VT,1,2295
2012,VT,2,2233
2012,WA,1,10286
2012,WA,2,6613
2012,WI,1,20149
2012,WI,2,20800
2012,WV,1,6036
2012,WV,2,5958
2012,WY,1,1425
2012,WY,2,1350
2013,AK,1,2021
2013,AK,2,1715
2013,AL,1,14615
2013,AL,2,12765
2013,AR,1,3181
2013,AR,2,3010
2013,AZ,1,9271
2013,AZ,2,11669
2013,CA,1,42873
2013,CA,2,38523
2013,CO,1,7537
2013,CO,2,7511
2013,CT,1,14293
2013,CT,2,12427
2013,DC,1,2627
2013,DC,2,2202
2013,DE,1,1510
2013,DE,2,1617
2013,FL,1,29322
2013,FL,2,18960
2013,GA,1,15357
2013,GA,2,13360
2013,HI,1,2649
2013,HI,2,2366
2013,IA,1,9600
2013,IA,2,9246
2013,ID,1,3962
2013,ID,2,4069
2013,IL,1,26215
2013,IL,2,17255
2013,IN,1,16956
2013,IN,2,15050
2013,KS,1,1216
2013,KS,2,3315
2013,KY,1,20949
2013,KY,2,15489
2013,LA,1,11414
2013,LA,2,10079
2013,MA,1,15094
2013,MA,2,13313
2013,MD,1,13110
2013,MD,2,12921
2013,ME,1,7411
2013,ME,2,4438
2013,MI,1,17454
2013,MI,2,12797
2013,MN,1,18331
2013,MN,2,19891
2013,MO,1,30053
2013,MO,2,30633
2013,MS,1,3536
2013,MS,2,4028
2013,MT,1,3001
2013,MT,2,3091
2013,NC,1,19182
2013,NC,2,16572
2013,NE,1,3870
2013,NE,2,3661
2013,NH,1,3636
2013,NH,2,3421
2013,NJ,1,12718
2013,NJ,2,10823
2013,NM,1,3963
2013,NM,2,2625
2013,NV,1,4203
2013,NV,2,3215
2013,NY,1,50427
2013,NY,2,53142
2013,OH,1,50130
2013,OH,2,45588
2013,OK,1,13620
2013,OK,2,12746
2013,OR,1,13747
2013,OR,2,9272
2013,PA,1,21150
2013,PA,2,23467
2013,RI,1,666
2013,RI,2,552
2013,SC,1,7564
2013,SC,2,6707
2013,SD,1,1358
2013,SD,2,1250
2013,TN,1,21073
2013,TN,2,19483
2013,TX,1,12144
2013,TX,2,7986
2013,UT,1,2846
2013,UT,2,3433
2013,VA,1,20356
2013,VA,2,19920
2013,VT,1,2705
2013,VT,2,2499
2013,WA,1,7109
2013,WA,2,8856
2013,WI,1,22212
2013,WI,2,20343
2013,WV,1,5913
2013,WV,2,5841
2013,WY,1,1087
2013,WY,2,1400
2014,AK,1,1679
2014,AK,2,1699
2014,AL,1,13172
2014,AL,2,10530
2014,AR,1,3274
2014,AR,2,3419
2014,AZ,1,10000
2014,AZ,2,13890
2014,CA,1,46796
2014,CA,2,49504
2014,CO,1,10091
2014,CO,2,10709
2014,CT,1,13030
2014,CT,2,13478
2014,DC,1,2406
2014,DC,2,2707
2014,DE,1,1699
2014,DE,2,1597
2014,FL,1,19072
2014,FL,2,15066
2014,GA,1,13622
2014,GA,2,13621
2014,HI,1,3137
2014,HI,2,2940
2014,IA,1,11099
2014,IA,2,11370
2014,ID,1,4277
2014,ID,2,4096
2014,IL,1,20899
2014,IL,2,25768
2014,IN,1,17309
2014,IN,2,19500
2014,KS,1,12416
2014,KS,2,8968
2014,KY,1,20459
2014,KY,2,26464
2014,LA,1,10925
2014,LA,2,9525
2014,MA,1,15370
2014,MA,2,13940
2014,MD,1,15574
2014,MD,2,16091
2014,ME,1,4252
2014,ME,2,4641
2014,MI,1,15267
2014,MI,2,20861
2014,MN,1,19897
2014,MN,2,22024
2014,MO,1,26026
2014,MO,2,26422
2014,MS,1,4575
2014,MS,2,4468
2014,MT,1,3325
2014,MT,2,3289
2014,NC,1,16922
2014,NC,2,21108
2014,NE,1,3840
2014,NE,2,3031
2014,NH,1,3222
2014,NH,2,3637
2014,NJ,1,15184
2014,NJ,2,14176
2014,NM,1,1606
2014,NM,2,6359
2014,NV,1,4852
2014,NV,2,5383
2014,NY,1,61268
2014,NY,2,59717
2014,OH,1,49099
2014,OH,2,55087
2014,OK,1,12927
2014,OK,2,10482
2014,OR,1,14241
2014,OR,2,13244
2014,PA,1,24037
2014,PA,2,24989
2014,RI,1,492
2014,RI,2,429
2014,SC,1,6453
2014,SC,2,6421
2014,SD,1,887
2014,SD,2,1362
2014,TN,1,20581
2014,TN,2,21126
2014,TX,1,4476
2014,TX,2,16599
2014,UT,1,3754
2014,UT,2,3301
2014,VA,1,17987
2014,VA,2,19126
2014,VT,1,2549
2014,VT,2,2003
2014,WA,1,10313
2014,WA,2,18054
2014,WI,1,21790
2014,WI,2,22843
2014,WV,1,7713
2014,WV,2,10306
2014,WY,1,1179
2014,WY,2,1329
2015,AK,1,1865
2015,AK,2,1946
2015,AL,1,14558
2015,AL,2,12751
2015,AR,1,3466
2015,AR,2,3400
2015,AZ,1,15021
2015,AZ,2,14666
2015,CA,1,60829
2015,CA,2,64218
2015,CO,1,11941
2015,CO,2,11260
2015,CT,1,14702
2015,CT,2,14790
2015,DC,1,2503
2015,DC,2,2753
2015,DE,1,1988
2015,DE,2,2053
2015,FL,1,12038
2015,FL,2,16779
2015,GA,1,13144
2015,GA,2,14601
2015,HI,1,3255
2015,HI,2,3316
2015,IA,1,11361
2015,IA,2,11480
2015,ID,1,4315
2015,ID,2,4351
2015,IL,1,26628
2015,IL,2,40183
2015,IN,1,20256
2015,IN,2,24915
2015,KS,1,7179
2015,KS,2,5906
2015,KY,1,39281
2015,KY,2,35601
2015,LA,1,13990
2015,LA,2,11725
2015,MA,1,14052
2015,MA,2,13717
2015,MD,1,16187
2015,MD,2,16903
2015,ME,1,4501
2015,ME,2,4516
2015,MI,1,25627
2015,MI,2,26472
2015,MN,1,18703
2015,MN,2,18786
2015,MO,1,27012
2015,MO,2,27121
2015,MS,1,4528
2015,MS,2,4670
2015,MT,1,3241
2015,MT,2,2936
2015,NC,1,19437
2015,NC,2,21385
2015,NE,1,2545
2015,NE,2,2362
2015,NH,1,3695
2015,NH,2,4276
2015,NJ,1,17622
2015,NJ,2,17876
2015,NM,1,4636
2015,NM,2,4296
2015,NV,1,7593
2015,NV,2,7731
2015,NY,1,62585
2015,NY,2,54199
2015,OH,1,72205
2015,OH,2,88503
2015,OK,1,10327
2015,OK,2,11436
2015,OR,1,17396
2015,OR,2,13305
2015,PA,1,26999
2015,PA,2,30906
2015,RI,1,384
2015,RI,2,339
2015,SC,1,6574
2015,SC,2,6744
2015,SD,1,2001
2015,SD,2,2395
2015,TN,1,20021
2015,TN,2,22707
2015,TX,1,25370
2015,TX,2,22755
2015,UT,1,3473
2015,UT,2,3192
2015,VA,1,19346
2015,VA,2,19569
2015,VT,1,2590
2015,VT,2,2798
2015,WA,1,16242
2015,WA,2,17120
2015,WI,1,24221
2015,WI,2,23257
2015,WV,1,9828
2015,WV,2,9862
2015,WY,1,1375
2015,WY,2,1266
2016,AK,1,2327
2016,AK,2,2575
2016,AL,1,13841
2016,AL,2,12509
2016,AR,1,3437
2016,AR,2,3113
2016,AZ,1,18069
2016,AZ,2,13141
2016,CA,1,67529
2016,CA,2,65548
2016,CO,1,12216
2016,CO,2,9480
2016,CT,1,16474
2016,CT,2,12375
2016,DC,1,2701
2016,DC,2,2344
2016,DE,1,2570
2016,DE,2,2763
2016,FL,1,19716
2016,FL,2,20173
2016,GA,1,15526
2016,GA,2,16183
2016,HI,1,2632
2016,HI,2,3042
2016,IA,1,11286
2016,IA,2,9256
2016,ID,1,4713
2016,ID,2,4250
2016,IL,1,42812
2016,IL,2,40169
2016,IN,1,30820
2016,IN,2,28435
2016,KS,1,6459
2016,KS,2,7658
2016,KY,1,49689
2016,KY,2,47420
2016,LA,1,12089
2016,LA,2,13582
2016,MA,1,15837
2016,MA,2,16178
2016,MD,1,17766
2016,MD,2,16388
2016,ME,1,4758
2016,ME,2,4445
2016,MI,1,34752
2016,MI,2,29916
2016,MN,1,19958
2016,MN,2,20964
2016,MO,1,26951
2016,MO,2,27898
2016,MS,1,4860
2016,MS,2,4744
2016,MT,1,3992
2016,MT,2,3831
2016,NC,1,23201
2016,NC,2,23545
2016,NE,1,3597
2016,NE,2,2919
2016,NH,1,4415
2016,NH,2,3918
2016,NJ,1,21204
2016,NJ,2,21436
2016,NM,1,4180
2016,NM,2,6154
2016,NV,1,10001
2016,NV,2,7884
2016,NY,1,66733
2016,NY,2,52598
2016,OH,1,91727
2016,OH,2,84145
2016,OK,1,11105
2016,OK,2,11429
2016,OR,1,16441
2016,OR,2,14933
2016,PA,1,30938
2016,PA,2,28675
2016,RI,1,3122
2016,RI,2,3158
2016,SC,1,6404
2016,SC,2,6817
2016,SD,1,2456
2016,SD,2,2244
2016,TN,1,22267
2016,TN,2,22444
2016,TX,1,21577
2016,TX,2,21256
2016,UT,1,3396
2016,UT,2,2852
2016,VA,1,18692
2016,VA,2,19657
2016,VT,1,2827
2016,VT,2,2725
2016,WA,1,20185
2016,WA,2,20952
2016,WI,1,23797
2016,WI,2,23730
2016,WV,1,12468
2016,WV,2,11095
2016,WY,1,820
2016,WY,2,1705
